year,data,quarter,sex,length,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2015,landings,2,female,27,,2,4,2,3,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,female,29,,2,8,9,2,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,female,31,,0,7,12,8,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,female,33,,0,6,4,16,4,1,,,,,,,,,,,,,,,,,,,
2015,landings,2,female,35,,1,2,6,19,9,4,,,,,,,,,,,,,,,,,,,
2015,landings,2,female,37,,,1,5,23,10,6,,,,,,,,,,,,,,,,,,,
2015,landings,2,female,39,,,,5,8,14,9,2,1,,,,,,,,,,,,,,,,,
2015,landings,2,female,41,,,,3,6,9,7,3,1,,,,,,,,,,,,,,,,,
2015,landings,2,female,43,,,,,2,9,6,3,6,,,,,,,,,,,,,,,,,
2015,landings,2,female,45,,,,,2,6,7,3,5,,1,,,,,,,,,,,,,,,
2015,landings,2,female,47,,,,,1,5,6,5,4,,3,,,,,,,,,,,,,,,
2015,landings,2,female,49,,,,,,2,5,0,11,2,2,,1,,,,,,,,,,,,,
2015,landings,2,female,51,,,,,,1,3,0,6,,2,,1,,1,,,,,,,,,,,
2015,landings,2,female,53,,,,,,,0,1,1,,3,1,0,,0,,,,,,,,,,,
2015,landings,2,female,55,,,,,,,2,,4,,1,0,0,,1,,,,,,,,,,,
2015,landings,2,female,57,,,,,,,1,,,,0,2,0,,3,,,,,,,,,,,
2015,landings,2,female,59,,,,,,,,,,,1,,1,,0,,,,,,,,,,,
2015,landings,2,female,61,,,,,,,,,,,0,,,,0,,,,,,,,,,,
2015,landings,2,female,63,,,,,,,,,,,1,,,,0,,,,,,,,,,,
2015,landings,2,female,65,,,,,,,,,,,,,,,1,,,,,,,,,,,
2015,landings,2,male,25,1,,,,,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,male,27,0,3,,,,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,male,29,1,4,3,3,2,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,male,31,,3,0,11,4,,,,,,,,,,,,,,,,,,,,,
2015,landings,2,male,33,,,4,7,8,2,,,,,,,,,,,,,,,,,,,,
2015,landings,2,male,35,,,1,6,7,3,1,1,,,,,,,,,,,,,,,,,,
2015,landings,2,male,37,,,,1,2,3,0,,1,,,,,1,,,,,,,,,,,,
2015,landings,2,male,39,,,,,,,1,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,25,,1,,,,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,27,,5,1,,,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,29,,5,7,2,2,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,31,,2,16,9,6,1,2,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,33,,2,8,14,8,4,0,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,35,,,6,9,15,7,3,,,,,,,,,,,,,,,,,,,
2015,landings,3,female,37,,,5,3,13,8,1,2,1,,,,,,,,,,,,,,,,,
2015,landings,3,female,39,,,0,3,11,6,7,1,0,,,,,,,,,,,,,,,,,
2015,landings,3,female,41,,,0,0,6,10,3,0,1,,,,,,,,,,,,,,,,,
2015,landings,3,female,43,,,1,1,2,6,6,0,3,,,,,,,,,,,,,,,,,
2015,landings,3,female,45,,,,,2,2,6,2,1,,,,,,,,,,,,,,,,,
2015,landings,3,female,47,,,,,,2,3,1,2,1,,,,,1,,,,,,,,,,,
2015,landings,3,female,49,,,,,,0,2,1,1,0,1,,,,0,,,,,,,,,,,
2015,landings,3,female,51,,,,,,1,1,,2,1,0,,,,0,,,,,,,,,,,
2015,landings,3,female,53,,,,,,1,0,,1,,0,,,,0,,,,,,,,,,,
2015,landings,3,female,55,,,,,,,2,,1,,2,,,,0,,,,,,,,,,,
2015,landings,3,female,57,,,,,,,,,,,1,,,,0,,,,,,,,,,,
2015,landings,3,female,59,,,,,,,,,,,,,,,0,,,,,,,,,,,
2015,landings,3,female,61,,,,,,,,,,,,,,,0,,,,,,,,,,,
2015,landings,3,female,63,,,,,,,,,,,,,,,1,,,,,,,,,,,
2015,landings,3,male,25,1,,,,,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,27,0,1,,1,,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,29,1,3,3,1,3,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,31,,4,2,6,3,1,1,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,33,,1,9,4,4,0,0,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,35,,,6,2,3,2,2,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,37,,,1,2,1,1,0,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,39,,,1,0,0,,2,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,41,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,43,,,,0,1,,,,,,,,,,,,,,,,,,,,,
2015,landings,3,male,45,,,,1,,,,1,,1,,,,,,,,,,,,,,,,
2015,landings,3,male,47,,,,,,,,0,,0,,,,,,,,,,,,,,,,
2015,landings,3,male,49,,,,,,,,1,,1,,,,,,,,,,,,,,,,
2015,landings,4,female,27,,7,,,,,,,,,,,,,,,,,,,,,,,,
2015,landings,4,female,29,,6,7,3,,1,,,,,,,,,,,,,,,,,,,,
2015,landings,4,female,31,,14,21,8,7,1,,,,,,,,,,,,,,,,,,,,
2015,landings,4,female,33,,2,23,12,6,9,,,,,,,,,,,,,,,,,,,,
2015,landings,4,female,35,,1,8,13,19,10,2,,,,,,,,,,,,,,,,,,,
