Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_>=120_0_0_all	2732	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	SSC_DEF_All_0_0_All	69600	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	GNS_DEF_all_0_0_all	141254	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	LHP_FIF_0_0_0_all	61533	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	OTM_DEF_70-99_0_0_all	1518	kWd	5.24	Landings	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	OTT_DEF_100-119_0_0	4088	kWd	9.57	Landings	R-Reported	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	LLS_FIF_0_0_0_all	45081	kWd	1.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_CRU_100-119_0_0_all	1530	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	217575	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	377703	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_32-69_0_0	5505	kWd	27.79	Landings	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_100-119_0_0_all	11316	kWd	313.30	Landings	R-Reported	Imported
