"Country","Season","Season.type","Year","Stock","Area","Fleets","Effort","UnitEffort","Catch..kg","Catch.Cat.","Report.cat.","Discards.Imported.Or.Raised"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",529934,"kWd",186.56,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",1506672,"kWd",2362.6,"Landings","R-Reported","Imported"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",1506672,"kWd",810.01,"Discards","R-Reported","Raised Discard"
"UK(Scotland)","annual","Year",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,"kWd",0,"Landings","R-Reported","Imported"
"Belgium","2","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",51964,"kWd",33,"Landings","R-Reported","Imported"
"Belgium","2","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",51964,"kWd",11.31,"Discards","R-Reported","Raised Discard"
"Ireland","1","Quarter",2014,"ple.27.7e","27.7.e","OTB_DEF",-9,NA,0,"Landings","R-Reported","Imported"
"Ireland","2","Quarter",2014,"ple.27.7e","27.7.e","OTB_DEF",-9,NA,0,"Landings","R-Reported","Imported"
"Ireland","3","Quarter",2014,"ple.27.7e","27.7.e","OTB_DEF",-9,NA,0,"Landings","R-Reported","Imported"
"Ireland","4","Quarter",2014,"ple.27.7e","27.7.e","OTB_DEF",-9,NA,0,"Landings","R-Reported","Imported"
"UK (England)","2","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,105,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,36,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","3","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,225,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,77.14,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,32,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,10.97,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,20,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","TBB_CRU_16-31_0_0_all",-9,NA,6.86,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","OTB_SPF_32-69_0_0_all",-9,NA,39,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","OTB_SPF_32-69_0_0_all",-9,NA,13.37,"Discards","A-All - reported, nonre","Raised Discard"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",244.72,"Landings","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",817.07,"Landings","R-Reported","Imported"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",0,"Discards","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",1760.45,"Landings","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",0,"Discards","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",131.32,"Landings","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","GTR_DEF_120-219_0_0_all",-9,"kWd",0,"Discards","R-Reported","Raised Discard"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",-9,NA,121,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",-9,NA,41.48,"Discards","A-All - reported, nonre","Raised Discard"
"Belgium","1","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",1200,"kWd",23,"Landings","R-Reported","Imported"
"Belgium","1","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",1200,"kWd",7.89,"Discards","R-Reported","Raised Discard"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",157770,"kWd",444.38,"Landings","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",157770,"kWd",152.35,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",130493,"kWd",62.56,"Landings","R-Reported","Imported"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",130493,"kWd",0,"Discards","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",152315,"kWd",202.03,"Landings","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",152315,"kWd",838.03,"Discards","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",83647,"kWd",281.64,"Landings","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","SSC_DEF_All_0_0_All",83647,"kWd",96.56,"Discards","R-Reported","Raised Discard"
"UK (England)","3","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,22,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,7.54,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,247,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,84.68,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,56,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,19.2,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","2","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,5,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2014,"ple.27.7e","27.7.e","OTB_CRU_16-31_0_0_all",-9,NA,1.71,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","TBB_DEF_>=120_0_0_all",-9,NA,544,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","TBB_DEF_>=120_0_0_all",-9,NA,544.52,"Discards","A-All - reported, nonre","Raised Discard"
"Belgium","1","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",551,"kWd",73,"Landings","R-Reported","Imported"
"Belgium","1","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",551,"kWd",71.28,"Discards","R-Reported","Raised Discard"
"Belgium","2","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",3144,"kWd",883,"Landings","R-Reported","Imported"
"Belgium","2","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",3144,"kWd",862.24,"Discards","R-Reported","Raised Discard"
"Belgium","3","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",15351,"kWd",4948,"Landings","R-Reported","Imported"
"Belgium","3","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",15351,"kWd",4831.66,"Discards","R-Reported","Raised Discard"
